dataset,rid,dimA_overall,dimB_total,n_judges,client_valence_nec,client_valence_emo_std,client_valence_emo_mean,client_valence_happy_ending,client_n_tokens,counselor_n_tokens,counselor_valence_emo_mean,total_tokens
annomi,annomi_0,4.933333333333334,4.601851851851851,3.0,-0.0809624572051041,0.1537333687136126,0.21777649963086,0.0,267,540,0.1422498228858398,807
annomi,annomi_1,4.833333333333333,3.759259259259259,3.0,0.0334202934662236,0.1398990272496096,0.1429248622134038,1.0,225,580,0.1054510688571984,805
annomi,annomi_10,1.8,2.592592592592593,3.0,0.112421875,0.10015258514775,0.0800444540450588,1.0,133,105,0.11836171875,238
annomi,annomi_101,3.816666666666667,4.361111111111112,3.0,0.0191605886243386,0.1126085854560486,0.0752852225386278,1.0,310,629,0.1116385919098822,939
annomi,annomi_102,1.3333333333333333,1.805555555555556,3.0,-0.0578633308531746,0.0911205418065867,0.155430062604752,0.0,170,253,0.1608919561540463,423
annomi,annomi_103,3.85,4.185185185185184,3.0,-0.0176150432900432,0.1199328321972291,0.1372653132086167,0.0,121,88,0.1026283152501506,209
annomi,annomi_104,4.466666666666667,4.444444444444445,3.0,0.0758486495135688,0.1262663584049528,0.1845359419515669,1.0,321,581,0.1445316933066933,902
annomi,annomi_105,3.85,4.5,3.0,-0.0214904317460317,0.1282691610659468,0.1318078103313397,0.0,638,198,0.1893628117913832,836
annomi,annomi_106,1.6666666666666667,2.0277777777777777,3.0,0.2231734417344173,0.1490822930052378,0.0692017676767676,1.0,218,374,0.0895419634703196,592
annomi,annomi_107,2.2333333333333334,1.462962962962963,3.0,0.045869597069597,0.0966905744000922,0.1329381485429993,1.0,143,226,0.1066915587740472,369
annomi,annomi_108,3.283333333333333,4.657407407407407,3.0,-0.015310934065934,0.1304291166163404,0.2090378038670665,0.0,660,948,0.1847309042040671,1608
annomi,annomi_11,4.183333333333333,3.305555555555556,3.0,0.1582751488095238,0.0697193516130556,0.1334617063492063,1.0,51,188,0.1901914449765008,239
annomi,annomi_110,3.8333333333333335,4.055555555555555,3.0,-0.1299521222377839,0.1410842269657539,0.2020177394930575,0.0,1031,451,0.1845257146448322,1482
annomi,annomi_111,4.8500000000000005,3.9629629629629632,3.0,-0.0758489130434783,0.1550034470475089,0.2202692942013028,0.0,355,670,0.1219826141248229,1025
annomi,annomi_112,3.8166666666666655,4.814814814814815,3.0,0.0927780555555555,0.1298884045193127,0.1792748583333333,1.0,1009,543,0.1677115592116996,1552
annomi,annomi_113,5.05,4.157407407407407,3.0,0.0389719610206952,0.1521437321404852,0.170641055395222,1.0,405,830,0.1110439287164317,1235
annomi,annomi_114,4.233333333333333,4.148148148148148,3.0,0.0171842996486126,0.1236654371241748,0.1705331285593117,1.0,664,349,0.158806772875817,1013
annomi,annomi_115,2.15,1.8703703703703705,3.0,0.0713564192343604,0.1117438693227389,0.1587292985595008,1.0,182,334,0.129204597069597,516
annomi,annomi_117,4.333333333333333,4.601851851851852,3.0,0.0179463648476422,0.1265716992184453,0.1808993355481727,1.0,697,667,0.1286228283157234,1364
annomi,annomi_118,1.5333333333333332,1.0,3.0,0.0693403073286052,0.1386233955798062,0.1039745174199623,1.0,245,344,0.1474456503198294,589
annomi,annomi_119,4.616666666666667,4.5,3.0,0.0615811379097093,0.1269164009191209,0.2167294940990213,1.0,781,552,0.1808400947119179,1333
annomi,annomi_12,3.383333333333333,3.740740740740741,3.0,0.0908097798259088,0.1292748771602999,0.1334446594982078,1.0,319,836,0.1354825147310032,1155
annomi,annomi_120,4.033333333333333,4.787037037037037,3.0,0.0199317841880342,0.1018631799978524,0.1748681903550224,1.0,271,524,0.2111297541994144,795
annomi,annomi_122,3.5500000000000003,3.333333333333333,3.0,-0.0527936688311688,0.1204646780902813,0.0715614447253828,0.0,122,101,0.1516546928916494,223
annomi,annomi_123,1.9333333333333336,1.5740740740740742,3.0,0.0700546853244222,0.1357187446380907,0.1581673534798535,1.0,295,600,0.0767898396583675,895
annomi,annomi_124,4.666666666666667,4.75925925925926,3.0,0.0167762108262108,0.1109642081608022,0.1944221589895747,1.0,988,650,0.2003198833667632,1638
annomi,annomi_125,2.5000000000000004,3.388888888888889,3.0,0.1018824404761904,0.0930234463131673,0.2240988636363636,1.0,53,49,0.0496167361111111,102
annomi,annomi_126,1.9,4.333333333333333,3.0,-0.0647740277777777,0.1641309623207407,0.15332191005291,0.0,309,1081,0.1578816827321724,1390
annomi,annomi_127,4.633333333333334,4.018518518518518,3.0,0.1136659297052154,0.1454314015940403,0.1232827964042759,1.0,499,442,0.098487763481066,941
annomi,annomi_128,4.5,4.083333333333333,3.0,0.1073982461297275,0.129366739154624,0.12016049003549,1.0,416,605,0.1333475151805688,1021
annomi,annomi_129,4.45,3.027777777777778,3.0,0.0081857956857956,0.1496460592621229,0.2063258709808709,1.0,204,237,0.2390298732943469,441
annomi,annomi_13,4.466666666666666,3.9814814814814814,3.0,0.0929203703703703,0.1606000330750056,0.2036352330293819,1.0,103,273,0.1226911375661375,376
annomi,annomi_131,3.8333333333333335,4.694444444444444,3.0,0.0396504078483244,0.1437181549064554,0.0902655200385863,1.0,371,925,0.1121243267831149,1296
annomi,annomi_132,4.416666666666667,4.685185185185186,3.0,-0.1053159159159159,0.1519935801066465,0.160154580468551,0.0,383,600,0.148108646899256,983
annomi,annomi_14,4.533333333333334,3.935185185185185,3.0,0.0437810201316299,0.12357954754065,0.2501347040104286,1.0,216,300,0.1400808841978945,516
annomi,annomi_15,2.483333333333333,2.0277777777777777,3.0,0.0973464676034348,0.141724503408006,0.1590835388552815,1.0,316,289,0.0741107893990929,605
